Date,Open,High,Low,Close
2025-02-28,84708.57000000,84892.85000000,84214.43000000,84258.65000000
2025-02-28,84258.65000000,84405.17000000,81111.00000000,81661.55000000
2025-02-28,81661.55000000,82874.00000000,79532.00000000,80805.50000000
2025-02-28,80805.50000000,81539.25000000,80256.05000000,80452.44000000
2025-02-28,80452.89000000,80969.69000000,79400.00000000,80410.50000000
2025-02-28,80410.49000000,80547.32000000,79152.00000000,79973.79000000
2025-02-28,79973.79000000,80440.44000000,79034.97000000,79344.56000000
2025-02-28,79344.56000000,80275.72000000,78820.06000000,79204.59000000
2025-02-28,79204.60000000,79438.33000000,78258.52000000,78975.99000000
2025-02-28,78975.98000000,80729.91000000,78896.22000000,80343.11000000
2025-02-28,80343.11000000,80467.43000000,79544.71000000,80011.02000000
2025-02-28,80011.02000000,80854.46000000,79981.13000000,80513.38000000
2025-02-28,80512.97000000,80829.92000000,80075.47000000,80779.61000000
2025-02-28,80779.62000000,81764.94000000,80621.10000000,81512.42000000
2025-02-28,81512.42000000,82549.47000000,81072.23000000,82105.05000000
2025-02-28,82105.06000000,84425.89000000,81998.26000000,84005.05000000
2025-02-28,84005.05000000,84920.00000000,83426.00000000,84363.69000000
2025-02-28,84363.68000000,84400.00000000,83584.90000000,83605.12000000
2025-02-28,83605.11000000,85120.00000000,83196.71000000,84440.97000000
2025-02-28,84440.97000000,84810.35000000,84209.84000000,84449.99000000
2025-02-28,84450.00000000,84795.03000000,83600.00000000,84191.27000000
2025-02-28,84190.51000000,84596.00000000,84000.17000000,84258.37000000
2025-02-28,84258.38000000,84481.14000000,83888.00000000,84149.98000000
2025-02-28,84149.99000000,84548.43000000,84014.00000000,84349.94000000
2025-03-01,84349.95000000,84628.93000000,83824.78000000,83857.92000000
2025-03-01,83857.91000000,84870.68000000,83845.86000000,84656.93000000
2025-03-01,84656.93000000,85678.11000000,84358.34000000,85240.46000000
2025-03-01,85240.45000000,85511.91000000,84961.44000000,85330.84000000
2025-03-01,85330.83000000,86558.00000000,85304.00000000,86190.01000000
2025-03-01,86190.00000000,86266.25000000,85569.91000000,85588.19000000
2025-03-01,85588.19000000,85663.49000000,84828.86000000,85075.62000000
2025-03-01,85075.63000000,85075.63000000,84740.15000000,84740.15000000
2025-03-01,84740.16000000,85335.19000000,84740.15000000,85303.37000000
2025-03-01,85303.37000000,85508.79000000,85118.03000000,85380.00000000
2025-03-01,85379.99000000,85436.00000000,84800.00000000,84900.01000000
2025-03-01,84900.01000000,84967.92000000,84382.62000000,84632.79000000
2025-03-01,84632.79000000,84943.08000000,84477.25000000,84758.86000000
2025-03-01,84758.86000000,84935.68000000,84334.39000000,84532.24000000
2025-03-01,84532.25000000,84858.56000000,84423.98000000,84713.99000000
2025-03-01,84714.00000000,84924.53000000,84560.89000000,84800.00000000
2025-03-01,84800.01000000,85298.79000000,84700.00000000,85274.82000000
2025-03-01,85274.81000000,85373.40000000,84958.05000000,85214.70000000
2025-03-01,85214.69000000,85338.64000000,85075.47000000,85327.57000000
2025-03-01,85327.58000000,85591.84000000,85207.54000000,85485.41000000
2025-03-01,85485.41000000,85595.95000000,85339.62000000,85537.73000000
2025-03-01,85537.73000000,86150.00000000,85285.88000000,86076.86000000
2025-03-01,86076.86000000,86262.74000000,85668.30000000,86116.35000000
2025-03-01,86116.36000000,86200.00000000,85679.24000000,86064.53000000
2025-03-02,86064.54000000,86318.18000000,85801.00000000,86026.62000000
2025-03-02,86026.62000000,86377.44000000,85990.00000000,86354.93000000
2025-03-02,86354.94000000,86498.00000000,85611.79000000,85774.01000000
2025-03-02,85774.01000000,86219.82000000,85773.59000000,85873.07000000
2025-03-02,85873.06000000,85886.00000000,85531.87000000,85752.80000000
2025-03-02,85752.80000000,86048.61000000,85672.84000000,85957.51000000
2025-03-02,85957.51000000,86589.97000000,85923.58000000,86277.65000000
2025-03-02,86277.66000000,86350.00000000,86075.09000000,86232.42000000
2025-03-02,86232.42000000,86263.23000000,85708.93000000,85754.71000000
2025-03-02,85754.72000000,86120.00000000,85633.13000000,85901.30000000
2025-03-02,85901.30000000,86008.81000000,85792.45000000,86006.00000000
2025-03-02,86006.01000000,86220.22000000,85954.00000000,86105.89000000
2025-03-02,86105.88000000,86105.89000000,85750.00000000,85986.18000000
2025-03-02,85986.19000000,86000.00000000,85477.81000000,85710.81000000
2025-03-02,85710.81000000,85911.84000000,85050.60000000,85107.45000000
2025-03-02,85107.45000000,88673.09000000,85075.47000000,87427.99000000
2025-03-02,87428.00000000,91959.99000000,87278.51000000,91200.00000000
2025-03-02,91200.00000000,95000.00000000,90636.00000000,94093.75000000
2025-03-02,94093.74000000,94399.80000000,92364.39000000,92794.19000000
2025-03-02,92794.19000000,93555.81000000,92608.69000000,93522.00000000
2025-03-02,93522.01000000,94446.27000000,93502.00000000,94330.00000000
2025-03-02,94330.00000000,94419.83000000,93670.72000000,94298.00000000
2025-03-02,94298.01000000,94760.00000000,93911.11000000,94247.40000000
2025-03-02,94247.40000000,94883.51000000,93800.00000000,94270.00000000
2025-03-03,94269.99000000,94416.46000000,93289.79000000,93314.89000000
2025-03-03,93314.89000000,93419.99000000,92649.58000000,93084.64000000
2025-03-03,93084.64000000,93442.83000000,92433.50000000,93318.24000000
2025-03-03,93318.23000000,93437.68000000,92450.00000000,92709.98000000
2025-03-03,92709.98000000,92947.67000000,92590.25000000,92866.00000000
2025-03-03,92866.01000000,93361.46000000,92830.44000000,93344.00000000
2025-03-03,93344.78000000,93344.78000000,91341.64000000,91645.99000000
2025-03-03,91646.00000000,92564.30000000,91181.00000000,92363.58000000
2025-03-03,92363.58000000,92394.03000000,91142.00000000,91477.54000000
2025-03-03,91477.54000000,92082.75000000,91190.27000000,91847.76000000
2025-03-03,91847.76000000,92581.86000000,91546.71000000,92546.77000000
2025-03-03,92546.76000000,92917.99000000,92415.57000000,92739.99000000
2025-03-03,92740.00000000,93255.58000000,92663.19000000,93027.34000000
2025-03-03,93027.35000000,93690.00000000,92882.38000000,93586.83000000
2025-03-03,93586.82000000,93721.37000000,89136.45000000,89278.88000000
2025-03-03,89264.51000000,91307.00000000,89117.00000000,90035.37000000
2025-03-03,90035.38000000,90750.91000000,89691.02000000,90154.00000000
2025-03-03,90154.00000000,91000.00000000,89912.00000000,90300.01000000
2025-03-03,90300.01000000,90450.47000000,86781.98000000,87132.80000000
2025-03-03,87132.80000000,87724.13000000,85555.45000000,85606.00000000
2025-03-03,85606.01000000,86412.00000000,85200.01000000,86074.00000000
2025-03-03,86073.99000000,86582.12000000,85117.11000000,85374.33000000
2025-03-03,85374.33000000,87038.46000000,85308.00000000,86650.96000000
2025-03-03,86650.96000000,86808.00000000,86000.00000000,86220.61000000
2025-03-04,86221.16000000,86807.98000000,85880.00000000,86046.43000000
2025-03-04,86046.43000000,86196.00000000,82641.51000000,83380.55000000
2025-03-04,83380.72000000,84413.62000000,82464.84000000,83936.41000000
2025-03-04,83936.41000000,84465.48000000,83602.81000000,83983.72000000
2025-03-04,83983.73000000,84037.74000000,83315.90000000,83416.95000000
2025-03-04,83416.95000000,84581.60000000,83354.27000000,84273.99000000
2025-03-04,84274.00000000,84411.76000000,83584.90000000,83883.58000000
2025-03-04,83884.06000000,84024.00000000,83140.00000000,83186.40000000
